naslov,avtor,nova poglavja,nove besede,poglavja,besede,zadnja objava,prva objava,teden zadnje objave,quest,zaključen
When Your Mother is Khepri,Veozar,1,1600,32,63000,2019-03-09,2018-01-20,2019-03-09,False,False
World Trace,Akallas von Aerok,1,1700,4,8500,2019-03-09,2019-03-02,2019-03-09,False,False
Worm - Justice For All,SeerKing,1,3800,5,23000,2019-03-09,2019-05-09,2019-03-09,False,False
Worm scrapped works in progress,RedLightningD608,1,2900,8,28000,2019-03-10,2019-10-22,2019-03-09,False,False
Worm-in-Waiting,The Watchers Network,1,2400,2,4900,2019-03-09,2019-03-05,2019-03-09,False,False
Worm: More Than Meets The Eye,Metallix666,1,4100,112,510000,2019-03-09,2015-01-27,2019-03-09,False,False
Wormbound,Janusi,2,5900,19,43000,2019-03-09,2019-01-21,2019-03-09,False,False
The Yozis&apos; Gambit,Morbleiz10,6,8500,6,8500,2019-03-09,2019-02-23,2019-03-09,False,False
238 Heroes of Taylor,Hejtan,1,1700,11,14000,2019-03-09,2019-03-01,2019-03-09,True,False
Born in the Bay,ericwinter,1,966,65,55000,2019-03-10,2019-07-30,2019-03-09,True,False
A Conjuror&apos;s journey,PieceThruWar,3,3300,380,470000,2019-03-09,2017-06-29,2019-03-09,True,False
As Far as the Eye Can See,Leanansidhe,4,4600,4,4600,2019-03-02,2019-03-02,2019-03-02,False,False
Auld Lang Syne,akeetpotato,4,10000,4,10000,2019-03-02,2019-03-02,2019-03-02,False,False
Bunyips and Bushrangers,Mangles,1,1400,1,1400,2019-03-02,2019-03-02,2019-03-02,False,False
Complicated and Dirty,CrazyCog,2,1300,2,1300,2019-03-04,2019-03-03,2019-03-02,False,False
Cracked Quartz,Heaven's Chocolate,1,2700,1,2700,2019-03-02,2019-03-02,2019-03-02,False,False
DK in Brockton,draco1557,1,1600,1,1600,2019-03-03,2019-03-02,2019-03-02,False,False
The Empress of Escalation,Blackhawk748,1,1700,1,1700,2019-03-02,2019-03-02,2019-03-02,False,False
Exploring Escalation,Hogg4,1,265,1,265,2019-03-02,2019-03-02,2019-03-02,False,False
Fort Right,Evadidnutingwrong,1,252,1,252,2019-03-03,2019-03-02,2019-03-02,False,False
Gemini,spyrl,1,4800,1,4800,2019-03-02,2019-03-02,2019-03-02,False,False
Icon,ProfessorPedant,7,16000,7,16000,2019-03-02,2019-03-02,2019-03-02,False,False
Itâs Not Easy Being Queen,BonesMalone,5,6200,5,6200,2019-03-04,2019-03-01,2019-03-02,False,False
A Legion of Taylors,Krule,1,1200,1,1200,2019-03-02,2019-03-02,2019-03-02,False,False
Much ado about hearts and other organs,sarahPenguin1234,1,1100,1,1100,2019-03-03,2019-03-02,2019-03-02,False,False
The New Kid is a Dinosaur,JeckParadox,1,823,1,823,2019-03-04,2019-03-03,2019-03-02,False,False
Not Looking Forward To It,Idiom Alpha,1,8800,1,8800,2019-03-02,2019-03-02,2019-03-02,False,False
Please Like &amp; Subscribe,stabbyunicorn,2,2400,2,2400,2019-03-02,2019-03-02,2019-03-02,False,False
Save The Girl,Oddly Lionized,1,699,1,699,2019-03-02,2019-03-02,2019-03-02,False,False
"So, I&apos;m a Spider. Flat, &apos;What?&apos;",throwaawy,3,3600,3,3600,2019-03-02,2019-03-02,2019-03-02,False,False
Strike the Worm,Angeloid,1,3800,1,3800,2019-03-02,2019-03-02,2019-03-02,False,False
Taylor of fallen heroes.,Rider1860,2,1400,2,1400,2019-03-02,2019-03-03,2019-03-02,False,False
Tengan Endbringer,TheTwoMind,2,2800,2,2800,2019-03-02,2019-03-02,2019-03-02,False,False
Toon-Force Taylor,NotDaedalus,11,11000,11,11000,2019-03-02,2019-03-02,2019-03-02,False,False
Unsung Heroes: All That Glitters...,Zaralann,1,5400,1,5400,2019-03-03,2019-03-03,2019-03-02,False,False
World Trace,Akallas von Aerok,3,6700,3,6700,2019-03-02,2019-03-02,2019-03-02,False,False
Worm-in-Waiting,The Watchers Network,1,2400,1,2400,2019-03-02,2019-03-02,2019-03-02,False,False
"Worm, except in New Zealand",Axle,1,1100,1,1100,2019-03-02,2019-03-02,2019-03-02,False,False
You Can Be A Hero,LazyLazyManFat,1,5300,1,5300,2019-03-02,2019-03-02,2019-03-02,False,False
One FARO to rule them all,Necronion_Yith,1,436,1,436,2019-03-02,2019-03-02,2019-03-02,True,False
a quest for a future undetermined,Rider1860,1,537,1,537,2019-03-04,2019-03-03,2019-03-02,True,False
Villian Quest,Rune_Fireheart,2,4900,2,4900,2019-03-02,2019-03-02,2019-03-02,True,False
Morning runs,Fjodor,1,11000,1,11000,2019-03-02,2019-03-02,2019-03-02,False,True
A wand for Skitter,ShayneT,5,13000,5,13000,2019-03-02,2019-02-27,2019-03-02,False,True
Forged in Blood and Bone,Vherstinae,1,2700,15,42000,2019-03-02,2016-09-28,2019-03-02,False,False
The Moon,TigerTitian,1,1900,13,28000,2019-03-03,2019-03-27,2019-03-02,False,False
Native,Spktr Alpha,1,1100,4,6100,2019-03-02,2019-11-07,2019-03-02,False,False
Odyssey,Cerulean,1,3100,10,38000,2019-03-02,2016-10-20,2019-03-02,False,False
The Scientist,Numen,1,4100,7,23000,2019-03-02,2019-07-08,2019-03-02,False,False
A Subtle Knife,industrious,1,1900,177,304000,2019-03-02,2015-05-28,2019-03-02,False,False
Symbiosis,Ahriman81,1,1100,3,3400,2019-03-04,2019-09-30,2019-03-02,False,False
To Walk in Shadow,Marsyas,22,85000,22,85000,2019-03-02,2017-08-26,2019-03-02,False,False
Wink,Idiom Alpha,2,7200,10,29000,2019-03-02,2019-07-24,2019-03-02,False,False
Abaddon Born(e),PublicLee Speaking,1,7300,113,558000,2019-03-03,2017-10-04,2019-03-02,False,False
Agency,KindaApatheticButNice,1,7000,42,145000,2019-03-02,2017-11-05,2019-03-02,False,False
Are You Ready?,Shokhk,1,1200,6,5700,2019-03-02,2019-01-02,2019-03-02,False,False
Ascendant,EmilyAmbrose,1,992,3,4900,2019-03-02,2019-02-16,2019-03-02,False,False
Aspects,ManMagnificent,4,17000,12,46000,2019-03-02,2019-02-07,2019-03-02,False,False
August Bravery,JonBerry,1,1400,81,126000,2019-03-03,2019-09-17,2019-03-02,False,False
A Bad Name,Potato Nose,82,216000,82,216000,2019-03-02,2017-03-03,2019-03-02,False,False
Beautiful,misha906,1,2100,5,8000,2019-03-02,2019-12-02,2019-03-02,False,False
Bigger and Better Bugs,Istaran,1,757,30,28000,2019-03-02,2019-01-22,2019-03-02,False,False
The Birds That Don&apos;t Rise,Vereor Nox,2,7900,11,19000,2019-03-03,2019-02-18,2019-03-02,False,False
Blanket aka The Diaper Changer,ScottotheUnwise,2,4600,67,206000,2019-03-02,2019-06-17,2019-03-02,False,False
Bloody Stars,SirWill,8,15000,8,15000,2019-03-02,2019-04-04,2019-03-02,False,False
Bringing a Pickaxe to a Power Fight,Akallas von Aerok,2,1900,33,33000,2019-03-04,2019-12-29,2019-03-02,False,False
Brockton 10-0,Noobsauce,1,6500,5,18000,2019-03-02,2019-02-17,2019-03-02,False,False
Butterflies,UncreativeName,2,5600,4,10000,2019-03-02,2019-02-02,2019-03-02,False,False
Collector,MRouz,3,4200,9,14000,2019-03-03,2019-01-28,2019-03-02,False,False
Confinement,Merksykhaan,1,8300,7,23000,2019-03-02,2019-02-19,2019-03-02,False,False
Consequences,OxfordOctopus,6,17000,10,26000,2019-03-02,2019-02-27,2019-03-02,False,False
the crazy green tinker of brockton,Jamin Gan,1,1200,2,3700,2019-03-02,2019-02-25,2019-03-02,False,False
The Creeping Silence,Old Amsterdam,1,3000,6,20000,2019-03-02,2019-01-09,2019-03-02,False,False
Danse Macabre,Potato Nose,1,2000,26,60000,2019-03-02,2019-05-29,2019-03-02,False,False
Deputy Director,Reyemile,1,4800,24,112000,2019-03-02,2017-10-25,2019-03-02,False,False
Dragon&apos;s Teeth,SIDoragon,4,18000,4,18000,2019-03-03,2019-02-17,2019-03-02,False,False
East of Eden: A New Twist on an Old Cycle,Husr,1,1600,21,36000,2019-03-02,2019-12-24,2019-03-02,False,False
The End Bringer,Materia-Blade,1,2600,14,45000,2019-03-02,2014-05-13,2019-03-02,False,False
The Fly Salesman,Electronic Stars,1,493,3,1000,2019-03-02,2019-02-24,2019-03-02,False,False
A General Among Parahumans,TheHatterOfMad,2,4600,4,10000,2019-03-02,2019-02-28,2019-03-02,False,False
The Ghost of Mars,Baked The Author,1,5600,2,11000,2019-03-02,2019-02-26,2019-03-02,False,False
Glassbreaker,silverpower,5,16000,9,31000,2019-03-02,2019-02-28,2019-03-02,False,False
Grail,Blinktwice13,1,5600,53,203000,2019-03-02,2019-11-21,2019-03-02,False,False
Hand full of Trumps,Pretending To Aspire,8,12000,8,12000,2019-03-02,2019-02-09,2019-03-02,False,False
Harmony,Viev,2,12000,54,231000,2019-03-02,2017-07-22,2019-03-02,False,False
Hidden in Plain Sight,Beige,1,2400,2,3700,2019-03-02,2019-01-14,2019-03-02,False,False
High Hope,ellfangor8,1,2300,4,8800,2019-03-04,2019-02-13,2019-03-02,False,False
"I Woke Up As a Dungeon, Now What?",Aku-dono,1,8000,31,154000,2019-03-02,2018-03-01,2019-03-02,False,False
In Vortices of Febrile Dream,PencilMonkey,1,2800,2,8600,2019-03-02,2019-02-25,2019-03-02,False,False
INTERFACE,Baked The Author,1,8900,8,50000,2019-03-02,2019-12-11,2019-03-02,False,False
Kaleidoscope,Viev,1,5000,8,39000,2019-03-03,2019-01-12,2019-03-02,False,False
Lets tone that back a bit,Heavy READER,1,4700,7,24000,2019-03-03,2017-07-25,2019-03-02,False,False
Life Bends Down,Pericardium,1,13000,10,73000,2019-03-02,2018-02-25,2019-03-02,False,False
Like How an Artist Paints,King Jerry,2,9600,5,19000,2019-03-02,2019-02-26,2019-03-02,False,False
Living The Dream,stabbyGamer,1,3200,14,30000,2019-03-02,2019-11-26,2019-03-02,False,False
Lone Wolf,idkusername,1,1900,2,6000,2019-03-02,2019-03-01,2019-03-02,False,False
Luminous,Relyet,3,15000,12,41000,2019-03-02,2019-02-17,2019-03-02,False,False
Man&apos;s Best Friend,Kolibrie,1,1200,18,35000,2019-03-02,2016-10-30,2019-03-02,False,False
A Matter of Lawyers,The Ferryman,1,7000,2,15000,2019-03-02,2019-02-21,2019-03-02,False,False
Mauling Snarks,CmptrWz,2,10000,201,949000,2019-03-02,2017-09-04,2019-03-02,False,False
"Me writing, bitches >:o",OperationArrow,1,1000,6,3100,2019-03-02,2019-04-25,2019-03-02,False,False
Metastable,Tascion,1,7800,63,226000,2019-03-02,2018-01-01,2019-03-02,False,False
MissionSword&apos;s Caught In Your Web,babagaia,4,27000,4,27000,2019-03-02,2019-12-30,2019-03-02,False,False
Mwahahahahahah,Belatordelux,1,738,2,1300,2019-03-03,2019-02-10,2019-03-02,False,False
My first CYOA AKA Let&apos;s hope I learn how to fly this plane before it crashes,SparkkleS,1,2000,3,5300,2019-03-03,2019-02-24,2019-03-02,False,False
On Fluttering Wings,Stardust Falcon,4,24000,4,24000,2019-03-02,2019-02-11,2019-03-02,False,False
Outsider Chronicles: Devils Advocate,Dis Lexic,1,4100,12,51000,2019-03-02,2019-10-24,2019-03-02,False,False
An Owl on the Loose,killaaxeman,1,4200,4,12000,2019-03-02,2019-02-01,2019-03-02,False,False
Pixel Perfect,Brilliger,1,2100,12,29000,2019-03-02,2019-12-30,2019-03-02,False,False
Price of Blood,Ack,1,7400,19,131000,2019-03-02,2016-11-30,2019-03-02,False,False
PRT Threat Assessment: Expanded Universe,Sora with an S,1,2000,15,39000,2019-03-02,2019-02-25,2019-03-02,False,False
Rank,The_Incorruptible,1,5300,50,188000,2019-03-02,2019-04-04,2019-03-02,False,False
The Remarkable Properties of Greasepaint,T0PH4T,2,2900,12,14000,2019-03-02,2019-02-02,2019-03-02,False,False
Remnant of a Worm,Half Masked,12,74000,12,74000,2019-03-02,2019-10-20,2019-03-02,False,False
Resonance-Of-Infinite-Struggle,Drawlords,1,1400,5,8100,2019-03-02,2019-01-22,2019-03-02,False,False
Resurrection,Elstabbo,1,4000,18,43000,2019-03-02,2019-02-01,2019-03-02,False,False
Ring-Maker,LithosMaitreya,113,296000,113,296000,2019-03-02,2017-04-21,2019-03-02,False,False
Sealed.,Bladeruler,1,2000,22,28000,2019-03-02,2019-01-14,2019-03-02,False,False
Sentinels of Earth Bet,TheWonko,1,4300,4,18000,2019-03-03,2019-12-17,2019-03-02,False,False
She Lives On,Aktm,3,10000,4,12000,2019-03-02,2019-02-28,2019-03-02,False,False
Ship of Fools,Derek M,19,50000,19,50000,2019-03-02,2019-02-16,2019-03-02,False,False
Silence Falls,MrStarbuck,7,46000,7,46000,2019-03-02,2019-12-14,2019-03-02,False,False
Siren Song,AnOutrageousAmountOfOwls,1,7100,32,152000,2019-03-02,2019-04-11,2019-03-02,False,False
Snuggles the Symbiote,Rater202,14,55000,14,55000,2019-03-03,2018-02-24,2019-03-02,False,False
Space Ninja Summer Camp,Sleethr,1,3400,19,134000,2019-03-02,2018-01-03,2019-03-02,False,False
A Stalker&apos;s change of Fate,Theonewhoasks,1,626,2,1200,2019-03-02,2019-02-02,2019-03-02,False,False
Tank,maroon_sweater,6,5700,6,5700,2019-03-02,2019-11-15,2019-03-02,False,False
Taylor Calvert,RavensDagger,11,21000,11,21000,2019-03-02,2019-02-18,2019-03-02,False,False
"Taylor Hebert, magical girl At your service",Aurora Moon,1,3100,26,75000,2019-03-02,2019-10-24,2019-03-02,False,False
Taylor of the Week,Thetntm,1,3200,2,6100,2019-03-03,2019-02-28,2019-03-02,False,False
Taylor Varga,mp3.1415player,260,1500000,260,1500000,2019-03-02,2016-09-20,2019-03-02,False,False
Taylor&apos;s Alternate,mp3_1415player,2,14000,10,74000,2019-03-02,2019-01-20,2019-03-02,False,False
That What Walks,fallacies,15,41000,15,41000,2019-03-03,2019-12-17,2019-03-02,False,False
Timesnatch,keira,1,2100,5,10000,2019-03-02,2019-12-03,2019-03-02,False,False
Tinker: Yes,QuickDeath007,1,754,3,2700,2019-03-02,2019-12-25,2019-03-02,False,False
To Find Your Home,Grimnosh,2,1800,10,12000,2019-03-02,2019-12-18,2019-03-02,False,False
Totally Storming It,WhoAmEye,2,10000,7,26000,2019-03-02,2019-01-28,2019-03-02,False,False
Trailblazer,3ndless,2,6600,30,154000,2019-03-02,2019-09-14,2019-03-02,False,False
Typewriter,The Sleeping Knight,4,11000,4,11000,2019-03-02,2019-08-09,2019-03-02,False,False
Unsung Heroes: For What of a Crown...,Zaralann,1,10000,4,42000,2019-03-02,2019-10-05,2019-03-02,False,False
Uplink,AnOutrageousAmountOfOwls,1,3100,11,49000,2019-03-03,2019-01-17,2019-03-02,False,False
Valiance,SmashHero59win,1,2800,5,14000,2019-03-02,2019-02-06,2019-03-02,False,False
Ward Academia,Wernher von Braun,1,2500,5,13000,2019-03-02,2019-02-13,2019-03-02,False,False
The Weaver Option,Antony444,1,15000,23,222000,2019-03-02,2016-08-23,2019-03-02,False,False
What is Time,BlueFlameMasta,1,4100,48,214000,2019-03-04,2019-05-05,2019-03-02,False,False
Wormbound,Janusi,2,5300,16,33000,2019-03-02,2019-01-21,2019-03-02,False,False
Yesod,Tobits,1,604,2,1300,2019-03-02,2019-02-26,2019-03-02,False,False
The Yozis&apos; Gambit,Morbleiz10,5,7100,5,7100,2019-03-02,2019-02-23,2019-03-02,False,False
238 Heroes of Taylor,Hejtan,6,6500,7,7300,2019-03-02,2019-03-01,2019-03-02,True,False
Blessed,Hejtan,1,1100,5,4800,2019-03-02,2019-02-24,2019-03-02,True,False
Born in the Bay,ericwinter,1,581,63,54000,2019-03-02,2019-07-30,2019-03-02,True,False
A Champion in Earth Bet,sun tzu,36,172000,36,172000,2019-03-02,2015-07-07,2019-03-02,True,False
Chromatic Quest,Tascion,1,7700,22,113000,2019-03-02,2019-08-26,2019-03-02,True,False
A Conjuror&apos;s journey,PieceThruWar,2,4300,377,467000,2019-03-02,2017-06-29,2019-03-02,True,False
Ear Worm,RexHeller,1,3700,8,16000,2019-03-02,2018-02-10,2019-03-02,True,False
The Birds That Don&apos;t Rise [inspired by Ava&apos;s Demon and Dresden Files),VereorNox,8,19000,8,19000,2019-02-23,2019-02-23,2019-02-23,False,False
Consequences,OxfordOctopus,4,9100,4,9100,2019-02-23,2019-02-23,2019-02-23,False,False
the crazy green tinker of brockton,Jamin Gan,1,2400,1,2400,2019-02-25,2019-02-25,2019-02-23,False,False
The Fly Salesman,Electronic Stars,2,605,2,605,2019-02-24,2019-02-24,2019-02-23,False,False
A General Among Parahumans,TheHatterOfMad,4,10000,4,10000,2019-02-23,2019-02-23,2019-02-23,False,False
Ghost of Hope,TheGirlWithFarTooManyIdeas,1,4400,1,4400,2019-02-26,2019-02-25,2019-02-23,False,False
The Ghost of Mars,Baked The Author,1,6100,1,6100,2019-02-23,2019-02-23,2019-02-23,False,False
Glassbreaker,silverpower,2,5800,2,5800,2019-02-23,2019-02-23,2019-02-23,False,False
Hero,Karitori-Ki,1,3400,1,3400,2019-02-24,2019-02-23,2019-02-23,False,False
In Vortices of Febrile Dream,PencilMonkey,1,5800,1,5800,2019-02-25,2019-02-25,2019-02-23,False,False
A Lesson in Chaos,Treevile,1,687,1,687,2019-02-23,2019-02-23,2019-02-23,False,False
Like How an Artist Paints,King Jerry,2,7300,2,7300,2019-02-23,2019-02-23,2019-02-23,False,False
Lone Wolf,idkusername,1,4100,1,4100,2019-02-23,2019-02-23,2019-02-23,False,False
My first CYOA AKA Let&apos;s hope I learn how to fly this plane before it crashes,SparkkleS,2,3700,2,3700,2019-02-24,2019-02-24,2019-02-23,False,False
Pay to Win,dgj212,1,4600,1,4600,2019-02-26,2019-02-25,2019-02-23,False,False
PRT Threat Assessment: Expanded Universe,Sora with an S,6,16000,6,16000,2019-02-23,2019-02-25,2019-02-23,False,False
She Lives On,Aktm,1,1800,1,1800,2019-02-23,2019-02-23,2019-02-23,False,False
Skitterin&apos; and Ridewatchin&apos;,TheTwoMind,1,1000,1,1000,2019-02-23,2019-02-23,2019-02-23,False,False
Sol Invictus,RustPony,1,2500,1,2500,2019-02-23,2019-02-23,2019-02-23,False,False
Tattletale Makes a Friend,hihapohah,1,578,1,578,2019-02-23,2019-02-23,2019-02-23,False,False
"Taylor Hebert, Medhall Intern",Ack,2,6700,2,6700,2019-02-23,2019-02-23,2019-02-23,False,False
Taylor of the Week,Thetntm,2,6100,2,6100,2019-02-23,2019-02-23,2019-02-23,False,False
"Worm, except its in New Zealand",axleonex,2,1900,2,1900,2019-02-23,2019-02-24,2019-02-23,False,False
Yesod,Tobits,1,739,1,739,2019-02-23,2019-02-23,2019-02-23,False,False
The Yozis&apos; Gambit,Morbleiz10,4,5200,4,5200,2019-02-26,2019-02-23,2019-02-23,False,False
238 Heroes of Taylor,Hejtan,1,851,1,851,2019-02-23,2019-02-23,2019-02-23,True,False
Blessed,Hejtan,5,4800,5,4800,2019-02-23,2019-02-24,2019-02-23,True,False
Heavy Metal Thunder,filipinosberman,3,6100,3,6100,2019-02-23,2019-02-23,2019-02-23,True,False
Philosopher&apos;s Champion,phoenixfryre,3,3600,3,3600,2019-02-23,2019-02-23,2019-02-23,True,False
Trials and Tribulations,LazyZealot,2,1800,2,1800,2019-02-24,2019-02-23,2019-02-23,True,False
The God of Thunder in Brockton Bay,phoenixfryre,3,11000,3,11000,2019-02-24,2019-01-03,2019-02-23,False,True
Officer Hess,freebiewitz,16,52000,16,52000,2019-02-23,2019-06-03,2019-02-23,False,True
Blindfolded Queen,TheHangedMan,1,4600,1,4600,2019-02-25,2019-02-24,2019-02-23,False,True
It Starts With One,Discreet,8,17000,8,17000,2019-02-23,2019-12-13,2019-02-23,False,True
Seeing New Faces,WestOrEast,1,4900,1,4900,2019-02-23,2019-02-23,2019-02-23,False,True
To Feel The Thunder,JustAnotherHachimanFan,1,6600,1,6600,2019-02-23,2019-02-23,2019-02-23,False,True
The Twin Swords,Angeloid,2,5900,2,5900,2019-02-26,2019-02-24,2019-02-23,False,True
A wand for Skitter,ShayneT,1,1400,1,1400,2019-02-23,2019-02-23,2019-02-23,False,True
Another Way,Ack,21,129000,21,129000,2019-02-23,2015-08-31,2019-02-23,False,False
Immortality is BS,kepic,1,1100,4,8900,2019-02-23,2019-10-10,2019-02-23,False,False
Not Nice,DMfromTheAbyss,1,211,26,121000,2019-02-23,2017-11-16,2019-02-23,False,False
Terminus,maroon_sweater,1,2500,33,60000,2019-02-23,2017-02-26,2019-02-23,False,False
Wail of the Banshee Mutated,anticode,2,3200,4,6700,2019-02-23,2013-12-01,2019-02-23,False,False
We Compromised,dgj212,1,3900,4,17000,2019-02-23,2017-10-29,2019-02-23,False,False
Ear Worm,RexHeller,1,12,7,9400,2019-02-23,2018-02-10,2019-02-23,True,False
Abaddon Born(e),PublicLee Speaking,1,60,111,546000,2019-02-24,2017-10-04,2019-02-23,False,False
Adaptation,ShayneT,74,209000,74,209000,2019-02-23,2019-08-27,2019-02-23,False,False
Amalgam,LordUltimus92,1,67,3,2900,2019-02-24,2019-02-06,2019-02-23,False,False
Are You Ready?,Shokhk,1,21,5,4500,2019-02-24,2019-01-02,2019-02-23,False,False
Ascendant,EmilyAmbrose,1,2200,2,3900,2019-02-23,2019-02-16,2019-02-23,False,False
August Bravery,JonBerry,4,195,79,122000,2019-02-23,2019-09-17,2019-02-23,False,False
A Bad Name,Potato Nose,82,216000,82,216000,2019-02-23,2017-03-03,2019-02-23,False,False
Barbershop,helpmeimscared,1,2300,21,54000,2019-02-23,2018-01-20,2019-02-23,False,False
Beautiful,misha906,1,36,4,5800,2019-02-25,2019-12-02,2019-02-23,False,False
Bigger and Better Bugs,Istaran,3,156,29,28000,2019-02-23,2019-01-22,2019-02-23,False,False
The Birds That Don&apos;t Rise,Vereor Nox,8,6500,8,6500,2019-02-23,2019-02-18,2019-02-23,False,False
Blanket aka The Diaper Changer,ScottotheUnwise,4,2000,65,201000,2019-02-23,2019-06-17,2019-02-23,False,False
Bloody Stars,SirWill,6,13000,6,13000,2019-02-23,2019-04-04,2019-02-23,False,False
Bringing a Pickaxe to a Power Fight,Akallas von Aerok,2,18,32,33000,2019-02-23,2019-12-29,2019-02-23,False,False
Brockton 10-0,Noobsauce,1,105,4,14000,2019-02-23,2019-02-17,2019-02-23,False,False
Câest La Vie,PseudoSim,1,14,22,96000,2019-02-23,2017-06-30,2019-02-23,False,False
Cazador,NemotheUnknown,1,61,17,46000,2019-02-25,2019-05-30,2019-02-23,False,False
Collector,MRouz,1,54,9,14000,2019-02-26,2019-01-28,2019-02-23,False,False
